Date,AAPL,MSFT,JPM,GLD,SPY
2023-03-15,151.0927276611328,260.37750244140625,120.00091552734375,178.2100067138672,375.30706787109375
2023-03-16,153.91726684570312,270.9323425292969,122.3305892944336,178.57000732421875,381.89190673828125
2023-03-17,153.07778930664062,274.1007385253906,117.70868682861328,183.77000427246094,377.42657470703125
2023-03-20,155.447998046875,267.03802490234375,118.95304107666016,183.83999633789062,381.0557556152344
2023-03-21,157.3046875,268.5585021972656,122.14346313476562,180.3699951171875,386.059326171875
2023-03-22,155.87266540527344,267.0968933105469,118.99046325683594,183.44000244140625,379.4783020019531
2023-03-23,156.95901489257812,272.3644714355469,118.67235565185547,185.74000549316406,380.504150390625
2023-03-24,158.2626953125,275.2190246582031,116.86665344238281,183.64999389648438,383.00103759765625
2023-03-27,156.3170928955078,271.1089172363281,120.21612548828125,181.9499969482422,383.7171630859375
2023-03-28,155.69488525390625,269.9808349609375,120.58100128173828,183.44000244140625,382.85589599609375
2023-03-29,158.77621459960938,275.1601257324219,120.82427215576172,182.52999877929688,388.4206237792969
2023-03-30,160.34649658203125,278.6326599121094,120.4593734741211,184.17999267578125,390.6949462890625
2023-03-31,162.85499572753906,282.801513671875,121.9189224243164,183.22000122070312,396.20166015625
2023-04-03,164.10928344726562,281.75201416015625,121.77857971191406,184.5399932861328,397.71142578125
2023-04-04,163.57594299316406,281.702880859375,120.1506118774414,187.97999572753906,395.5047912597656
2023-04-05,161.72915649414062,278.9170837402344,120.32978820800781,187.8300018310547,394.46923828125
2023-04-06,162.6179962158203,286.0386047363281,120.19776153564453,186.49000549316406,396.0080871582031
2023-04-10,160.02059936523438,283.8708190917969,120.59381103515625,185.11000061035156,396.41455078125
2023-04-11,158.8058624267578,277.4358825683594,121.18785095214844,186.27999877929688,396.52099609375
2023-04-12,158.11453247070312,278.08331298828125,121.16901397705078,187.19000244140625,394.90478515625
2023-04-13,163.50680541992188,284.31219482421875,121.63105010986328,189.72000122070312,400.1502685546875
2023-04-14,163.1611785888672,280.6827697753906,130.8153839111328,186.36000061035156,399.17266845703125
2023-04-17,163.180908203125,283.29205322265625,131.8526153564453,185.52999877929688,400.60504150390625
2023-04-18,164.405517578125,282.8702087402344,133.33303833007812,186.25,400.86639404296875
2023-04-19,165.55116271972656,282.9486389160156,133.16334533691406,185.36000061035156,400.79864501953125
2023-04-20,164.58331298828125,280.6533203125,132.77671813964844,186.08999633789062,398.61138916015625
2023-04-21,162.97352600097656,280.31005859375,132.52210998535156,184.25,398.92108154296875
2023-04-24,163.27967834472656,276.3960266113281,132.70126342773438,184.80999755859375,399.3372802734375
2023-04-25,161.73902893066406,270.167236328125,129.8158416748047,185.75,392.99822998046875
2023-04-26,161.72915649414062,289.7366943359375,127.51506042480469,184.74000549316406,391.33367919921875
2023-04-27,166.32150268554688,299.01629638671875,129.23121643066406,184.75,399.1243896484375
2023-04-28,167.57571411132812,301.3999328613281,130.35333251953125,184.8000030517578,402.5309143066406
2023-05-01,167.48684692382812,299.7323913574219,133.1444854736328,183.97000122070312,402.1244812011719
2023-05-02,166.4498291015625,299.5852355957031,130.99453735351562,187.52000427246094,397.60498046875
2023-05-03,165.37338256835938,298.594482421875,128.22225952148438,189.11000061035156,394.8757629394531
2023-05-04,163.7339630126953,299.5852355957031,126.46837615966797,190.44000244140625,392.078857421875
2023-05-05,171.41749572753906,304.72528076171875,128.9389190673828,187.4600067138672,399.3372802734375
2023-05-08,171.3483428955078,302.76336669921875,129.25010681152344,187.69000244140625,399.4437255859375
2023-05-09,169.6398162841797,301.14495849609375,128.6277618408203,189.02000427246094,397.6920471191406
2023-05-10,171.40760803222656,306.35357666015625,128.69371032714844,188.75,399.5501403808594
2023-05-11,171.59524536132812,304.1955261230469,128.2882843017578,187.1300048828125,398.85333251953125
2023-05-12,170.66561889648438,303.0773010253906,126.44950866699219,186.80999755859375,398.33074951171875
2023-05-15,170.171142578125,303.5579833984375,127.51506042480469,187.2100067138672,399.70501708984375
2023-05-16,170.171142578125,305.79443359375,126.656982421875,184.8699951171875,397.033935546875
2023-05-17,170.78431701660156,308.6847229003906,130.55136108398438,184.22999572753906,401.85345458984375
2023-05-18,173.1182403564453,313.12823486328125,131.5414581298828,181.83999633789062,405.7245788574219
2023-05-19,173.22705078125,312.9512634277344,131.23968505859375,183.63999938964844,405.1342468261719
2023-05-22,172.27764892578125,315.7431945800781,130.1553192138672,183.2100067138672,405.2987976074219
2023-05-23,169.66677856445312,309.9234313964844,128.79745483398438,183.42999267578125,400.7502136230469
2023-05-24,169.9436798095703,308.5372619628906,127.6187744140625,181.9499969482422,397.846923828125
2023-05-25,171.08099365234375,320.4029541015625,127.92993927001953,180.1999969482422,401.29217529296875
